,Sentences,Label,fr_sentences
531,"Bless them, they still think they were Hot",1,"Bénissez-les, ils pensent toujours qu'ils étaient Chaud"
532,That face she just pulled was hideous.,1,Le visage qu'elle vient de tirer était hideux.
533,I'm going to gouge my eyes out if this bitch doesn't get off,1,Je vais m'évanouir les yeux si cette salope ne s'en va pas.
534,"Phoebe, change your face",1,"Phoebe, change de visage."
535,She is one of those rare pieces of trash that get even uglier when she smiles,1,C'est une de ces rares poubelles qui deviennent encore plus moches quand elle sourit
536,Victoria has to be the biggest bitch around,1,Victoria doit être la plus grosse garce du monde.
537,I want to slap that stupid smirk off her face. What a horrible cow!,1,Je veux lui gifler ce stupide sourire.
538,I actually liked her tonight. Though she always looks like her hair is pulled back too tight.,1,"Je l'ai aimée ce soir, mais elle a toujours l'air d'avoir les cheveux trop serrés."
539,That slapping would be your thighs as you walk celine,1,Cette gifle serait tes cuisses alors que tu marches avec celine
540,Celina is an elephant and her people have finally come,1,Celina est un éléphant et son peuple est enfin venu
541,Can someone give her a slap across the head,1,Quelqu'un peut lui donner une gifle sur la tête
542,She is really a nasty piece of work to be honest,1,C'est vraiment un sale travail pour être honnête.
543,all she needs now is a witch hat!,1,"Tout ce dont elle a besoin maintenant, c'est d'un chapeau de sorcière !"
544,every time I see her face I feel like puking,1,"Chaque fois que je vois son visage, j'ai envie de vomir."
545,Not true. Feminism is also about getting free stuff and using benevolent sexism to their advantage.,1,Le féminisme est aussi une question d'obtenir des trucs gratuits et d'utiliser le sexisme bienveillant à leur avantage.
546,Those women are not exploited. They make a calculated choice to use sex to advance careers.,1,"Ces femmes ne sont pas exploitées, elles font un choix calculé d'utiliser le sexe pour faire avancer leur carrière."
547,yeah rape culture is a lie!! So true,1,"Oui, la culture du viol est un mensonge!"
548,"From now on, I'll use ""Little Girl"". Except it insults preteen females comparing them to feminists.",1,"À partir de maintenant, j'utiliserai ""Petite fille"". Sauf que ça insulte les femmes qui les comparent aux féministes."
549,Feminists think hating men is feminism.,1,"Les féministes pensent que haïr les hommes, c'est le féminisme."
550,Sons are at much greater risk now than daughters because of feminist laws.,1,Les fils sont beaucoup plus à risque maintenant que les filles à cause des lois féministes.
551,"Has she been fired yet? Male writers for ""newspapers"" usually get fired for much less.",1,"Les écrivains masculins pour ""journaux"" se font généralement virer pour beaucoup moins."
552,"So if he hit her in the same way for what she was wearing, that would be okay, too?",1,"Donc s'il la frappait de la même façon pour ce qu'elle portait, ça irait aussi ?"
553,Should men and women have equal legal rights? Definitely not.,1,Les hommes et les femmes devraient-ils avoir des droits juridiques égaux?
554,Sucking at math and logic is a requirement for feminism...,1,Suquer les maths et la logique est une exigence pour le féminisme...
555,You seem like a nice girl. I just ask that u dig a little deeper into the subject matter.,1,"Tu as l'air d'une gentille fille, je te demande juste de creuser un peu plus dans le sujet."
556,Might need some lube. The tip is wider than her hips...,1,Le pourboire est plus large que ses hanches...
557,I know her little sister is severely overvaluing herself here,1,Je sais que sa petite sœur se surestime beaucoup ici.
558,if a dude cries because of a girl in a wedding dress then he has a vagina,1,"Si un mec pleure à cause d'une fille en robe de mariée, alors il a un vagin"
559,I've seen some really dumb girls which lend credibility to the argument.,1,J'ai vu des filles vraiment stupides qui donnent de la crédibilité à l'argument.
560,A pack of girls skateboarding might just be the weirdest thing I've ever seen,1,Un paquet de filles de skate est peut-être la chose la plus bizarre que j'aie jamais vue.
561,I actually prefer having guys in charge. The atmosphere is definitely more laid back and fun. Women are just so serious,1,"En fait, je préfère avoir des gars en charge. L'atmosphère est certainement plus décontractée et amusante."
562,Women can't play football!,1,Les femmes ne peuvent pas jouer au football !
563,"Don't ever let women drive, they'll break your arm!",1,"Ne laissez jamais les femmes conduire, elles vous casseront le bras !"
564,I usually walk away when women sports announcers are on Sportscenter.,1,"D'habitude, je m'en vais quand les femmes annonceuses de sport sont sur Sportscenter."
565,"Dear women, nagging does not work",1,"Chers femmes, le masquage ne fonctionne pas."
566,Come on let's be real and agree that men are superior.,1,Soyons réels et convenons que les hommes sont supérieurs.
567,"Please women. When you commit to your man, commit to the gym as well. Commit to the kitchen too.",1,"S'il vous plaît les femmes. Quand vous vous engagez à votre homme, engagez-vous à la salle de gym aussi."
568,Female sports anchors are the worst. Makes me uncomfortable when women know more about sports than I do,1,Les ancres sportives féminines sont les pires. Ça me met mal à l'aise quand les femmes en savent plus sur le sport que moi.
569,If I give a girl in the street my clothes I expect her to go home and iron them,1,"Si je donne une fille dans la rue mes vêtements, je m'attends à ce qu'elle rentre à la maison et les repasse"
570,I pay the bills in this household it's the least she can do,1,"Je paie les factures de ce ménage, c'est le moins qu'elle puisse faire."
571,Women are seriously awful drivers,1,Les femmes sont des conducteurs horribles.
572,Honestly women should not be announcing football. #Aggravating,1,"Honnêtement, les femmes ne devraient pas annoncer le football."
573,Everything seems to be about women. Women this women that,1,Tout semble concerner les femmes.
574,Women comedians aren't funny at all. Case closed.,1,Les comédiennes ne sont pas drôles du tout.
575,"Tests are like women. Hard to understand, easy to get over, and nonrefundable.",1,"Les tests sont comme les femmes. Difficile à comprendre, facile à surmonter, et non remboursable."
576,Women should never be allowed to talk about sports on TV.,1,Les femmes ne devraient jamais être autorisées à parler de sport à la télévision.
577,"Well, women don't give a damn about you.",0,Les femmes se fichent de toi.
578,I find female sportscasters really annoying.,1,Je trouve les joueuses de sport très ennuyeuses.
579,I do hold the firm belief that women shouldn't be allowed to drive. No need to explain why,1,Je suis convaincu que les femmes ne devraient pas être autorisées à conduire.
580,if i see a women in mens wearhouse today i am calling the police.,1,"Si je vois une femme chez les hommes aujourd'hui, j'appelle la police."
581,women just piss me off,1,Les femmes m'énervent.
582,women are just so damn stubborn,1,Les femmes sont tellement têtues
583,Women sports reporters always look like they have no idea what they are doing,1,Les reporters sportives ont toujours l'air d'avoir aucune idée de ce qu'elles font.
584,I hate how girls are ALWAYS made out to be the victims,1,Je déteste comment les filles sont toujours faites pour être les victimes
585,"when I go to an auto place, I'd rather talk to a guy",1,"Quand je vais dans une auto, je préfère parler à un type."
586,I do not trust girls in a gun store.,1,Je ne fais pas confiance aux filles dans un magasin d'armes.
587,I need a woman to do my laundry,1,J'ai besoin d'une femme pour faire ma lessive.
588,Women comedians suck,1,Les comédiennes sont nulles
589,I'm not voting for no Lady..,1,Je ne vote pas pour Lady..
590,The sight of girls smoking is unpleasant,1,La vue des filles fumer est désagréable
591,More people would be satisfied with me as president than a women,1,Plus de gens seraient satisfaits de moi en tant que président qu'une femme
592,Just because a woman scored a great goal does not mean women's football is any good,1,Juste parce qu'une femme a marqué un grand but ne signifie pas que le football féminin est un bon
593,she is blond what do you want,1,Elle est blonde. Qu'est-ce que tu veux ?
594,I really don't like female country singers,1,Je n'aime pas les chanteuses country.
595,I don't like a girl who's overly into football,1,Je n'aime pas une fille qui aime trop le football
596,Sometimes I look at a female and ponder if I'd offer a goat and full sack of potatoes for her hand,1,"Parfois, je regarde une femme et je réfléchis si j'offrais une chèvre et plein sac de pommes de terre pour sa main"
597,"Only girls should wear earrings, it just looks wrong on guys",1,"Seules les filles devraient porter des boucles d'oreilles, ça a juste l'air mal sur les gars"
598,Women can't drive,1,Les femmes ne peuvent pas conduire
599,There are some things women do that men just won't.,0,Il y a des choses que les femmes ne font pas.
600,I can't stand women commentators in football.,1,Je ne supporte pas les femmes commentatrices dans le football.
601,I believe women should hold themselves to a different standard as guys. Like how they carry themselves,1,Je crois que les femmes devraient se tenir à un autre niveau que les garçons.
602,Male comedians are so much funnier than female ones,1,Les comédiens masculins sont plus drôles que les comédiens féminins.
603,I don't respect anything a girl has to say about football or sports itself,1,Je ne respecte rien qu'une fille ait à dire sur le football ou le sport lui-même.
604,I've genuinely never actually met a funny girl,1,Je n'ai jamais vraiment rencontré une fille drôle.
605,I hate female sports analysts because I swear all they do is look at a stat sheet and state the obvious,1,Je déteste les analystes de sports féminins parce que je jure qu'ils ne font que regarder une feuille de statistiques et dire l'évidence
606,No offence to anyone but women are poor drivers,1,"Pas d'offense pour qui que ce soit, mais les femmes sont de mauvais conducteurs."
607,This is exactly what women should look like!,1,C'est exactement à ça que les femmes devraient ressembler !
608,Women should stop pretending to make a difference in politics.,1,Les femmes devraient cesser de faire semblant de faire une différence en politique.
609,"Most of you girls should just go out without makeup, that's probably super scary",1,"La plupart d'entre vous les filles devraient sortir sans maquillage, c'est probablement super effrayant"
610,RT @lucasRobson09 I can't deal with women football announcers. It just doesn't sound right.,1,RT @lucasRobson09 Je ne peux pas m'occuper des annonceuses féminines de football.
611,I don't think women should announce football games,1,Je ne pense pas que les femmes devraient annoncer des matchs de football
612,Girls should not be allowed to be commentators for football games,1,Les filles ne devraient pas être autorisées à commenter des matchs de football.
613,Girls should shave no matter what month it is,1,Les filles devraient se raser quel que soit le mois qu'il est
614,Not another woman prime minister because look what going on,1,Pas une autre femme Premier ministre parce que regardez ce qui se passe
615,Why are women so easily confused?,1,Pourquoi les femmes sont-elles si facilement confuses ?
616,"if I was sitting on a plane ready to leave, and a female captain come on the speaker, I'd probably leave immediately",1,"Si j'étais assis dans un avion prêt à partir, et qu'une femme capitaine vienne sur le haut-parleur, je partirais probablement immédiatement."
617,I can not stand female reporters in men's sports,1,Je ne supporte pas les femmes journalistes dans les sports masculins
618,I just mean the women barking in the office are the same ones kneeling or submitting in the bedroom,1,Je veux dire que les femmes qui aboient dans le bureau sont les mêmes que celles qui s'agenouillent ou se soumettent dans la chambre à coucher.
619,Call me old fashioned but I feel a WOMAN needs to know how to throw down in the kitchen. And a MAN provides.,1,Appelez-moi vieille façon mais je sens qu'une femme a besoin de savoir comment jeter dans la cuisine et un homme fournit.
620,"All girls should come with a sign ""you must be this tall to ride my emotional rollercoaster"".",1,"Toutes les filles devraient venir avec un signe ""vous devez être si grand pour monter mon roller coaster émotionnel""."
621,Every girl should be sad for not being a boy,1,Toutes les filles devraient être tristes de ne pas être un garçon
622,"i'm no sexist, i'm a realist",1,"Je ne suis pas sexiste, je suis réaliste."
623,Theres something about women playing rugby that just really doesn't look right.,1,Il y a quelque chose à propos des femmes qui jouent au rugby qui n'a pas l'air juste.
624,Girls riding bikes just looked weird.,1,Les filles à vélo avaient l'air bizarres.
625,"No I'm not sexist for calling you a cunt, you're just offended that I called you what you are and are really just angry",1,"Non, je ne suis pas sexiste pour t'avoir traité de con, tu es juste offensé que je t'aie appelé comme tu es et que je sois vraiment en colère."
626,The stuff girls write and put on social networks is evidence that men are smarter,1,Le truc que les filles écrivent et mettent sur les réseaux sociaux est la preuve que les hommes sont plus intelligents
627,I think doctors should stick to being male,1,Je pense que les médecins devraient s'en tenir à être des hommes
628,There are certain things that a woman can't tell me NOTHING about.,1,Il y a certaines choses dont une femme ne peut rien me dire.
629,Why do female managers think they are god's greatest creation. They are Way too power hungry. You lot need to chill,1,Pourquoi les femmes managers pensent qu'ils sont la plus grande création de Dieu. Ils sont Way trop de pouvoir faim.
630,"I think in general, men make way better music",1,"En général, les hommes font mieux la musique."
631,I don't think I wanna see a women president at this stage in my life,1,Je ne pense pas vouloir voir une femme présidente à ce stade de ma vie.
632,It isn't sexist if you're right.,1,Ce n'est pas sexiste si tu as raison.
633,Sexual assault is too broad a term,1,L'agression sexuelle est un terme trop large.
634,I must say women are the worst drivers,1,Je dois dire que les femmes sont les pires conducteurs
635,I swear I'm not sexist but there are way too many female drivers in this town.,1,"Je jure que je ne suis pas sexiste, mais il y a beaucoup trop de femmes dans cette ville."
636,Something isn't right when women calling a football game,1,Quelque chose ne va pas quand les femmes appellent un match de football
637,"It bothers me when anyone uses foul language, but when it comes out of a girls mouth it seems ten times worse. Keep it clean.",1,"Ça me dérange quand quelqu'un utilise un langage malhonnête, mais quand il sort d'une bouche de filles, ça semble dix fois pire."
638,I refuse to watch a football game in which a woman referees.,1,Je refuse de regarder un match de football dans lequel une femme arbitre.
639,But Men are superior to women.,1,Mais les hommes sont supérieurs aux femmes.
640,Watching girl's basketball usually makes me want to shoot myself in the head,1,Regarder le basketball de la fille me donne envie de me tirer dans la tête
641,Reading about the social advancement of women is so boring.,1,La lecture sur la promotion sociale des femmes est si ennuyeuse.
642,I really don't like womanly jobs,1,Je n'aime pas les emplois féminins.
643,I really dont feel comfortable having a female BARBER cut my hair ever again,1,Je ne me sens vraiment pas à l'aise d'avoir une femelle BARBER coupé mes cheveux plus jamais
644,I prefer male professors over females.,1,Je préfère les professeurs masculins aux femmes.
645,I don't agree with women on sports shows that talk solely about men's sports.,1,Je ne suis pas d'accord avec les femmes dans les sports qui parlent uniquement des sports masculins.
646,"I'm talking football with a girl, and it's weird.",1,"Je parle football avec une fille, et c'est bizarre."
647,Sexist jokes are funny,1,Les blagues sexistes sont drôles
648,Being able to cook is one of the most attractive qualities a woman can have.,1,Être capable de cuisiner est l'une des qualités les plus attrayantes qu'une femme puisse avoir.
649,I'll take a woman who can cook over one who can't ANY DAY,1,Je vais prendre une femme qui peut cuisiner sur une qui ne peut pas n'importe quel jour
650,Can't talk sports with females.,1,Je ne peux pas parler de sport avec les femmes.
651,Women are not good at high fiving each other,1,Les femmes ne sont pas bonnes les unes les autres.
652,I just don't feel safe driving with any girl ,1,Je ne me sens pas en sécurité avec une fille.
653,My wife will not have a nine to five job.,1,Ma femme n'aura pas de travail de neuf à cinq.
654,"get back to the kitchen, slut.",1,"Retourne dans la cuisine, salope."
655,I'm not sexist so I will call you fat if I please.,1,Je ne suis pas sexiste alors je vais t'appeler gros si je veux bien.
656,I just really hope I don't have a daughter,1,J'espère que je n'ai pas de fille.
657,the statement 'all men drivers are better than woman' is correct in every way,1,l'énoncé « tous les hommes conducteurs sont meilleurs que les femmes » est correct dans tous les sens
658,My son can do whatever he wants but my daughter not so much,1,"Mon fils peut faire tout ce qu'il veut, mais ma fille n'est pas vraiment là."
659,Female comedians aren't funny,1,Les comédiennes ne sont pas drôles.
660,it's hard watching a game when there is a female commentator.,1,C'est dur de regarder un jeu quand il y a un commentateur féminin.
661,"I really cannot stand women sportscasters. Sorry,",1,Je ne peux vraiment pas supporter les joueuses de sport.
662,No woman should ever be allowed to announce a football game. Know your place.,1,Aucune femme ne devrait être autorisée à annoncer un match de football.
663,the majority of bad drivers are women right?,1,"la majorité des mauvais conducteurs sont des femmes, n'est-ce pas?"
664,Real ladies should respect traditional values. men should be men and women should be women,1,Les vraies dames devraient respecter les valeurs traditionnelles. Les hommes devraient être des hommes et les femmes devraient être des femmes.
665,"A lot of people call me sexist. But those people are women, and their opinions don't matter.",1,"Beaucoup de gens m'appellent sexiste, mais ces gens sont des femmes, et leurs opinions n'ont pas d'importance."
666,But it's extremely hard for me to listen to a female vocalist,1,Mais c'est extrêmement dur pour moi d'écouter une chanteuse
667,Feminists piss me off.,1,Les féministes m'énervent.
668,I hate it when girls are in a bad mood so what i'm trying to say is I hate girls,1,Je déteste quand les filles sont de mauvaise humeur alors ce que j'essaie de dire c'est que je déteste les filles
669,Hate girls who think they're really hot because they get with a different person every week,1,Les filles de haine qui pensent qu'elles sont vraiment sexy parce qu'elles obtiennent avec une personne différente chaque semaine
670,i think male comedians are funnier than female ones,1,Je pense que les comédiens masculins sont plus drôles que les comédiens féminins.
671,Women tend to be late for every event regardless of the race so it's probably in their genes.,1,"Les femmes ont tendance à être en retard pour chaque événement indépendamment de la race, donc c'est probablement dans leurs gènes."
672,women in Burkhahs scare me. Totally.,1,Les femmes de Burkhahs me font peur.
673,Holy shit women drivers are awful!,1,"Merde, les femmes chauffeurs sont horribles !"
674,I hate when women do commentary on sports.,1,Je déteste quand les femmes font des commentaires sur le sport.
675,Do you and your little girl watch sports together?,0,Est-ce que toi et ta petite fille regardez les sports ensemble ?
676,"Woman football commentators annoy me so much, they never shut up",1,Les femmes commentatrices de football m'ennuient tellement qu'elles ne se taisent jamais.
677,Men will always be superior drivers,1,Les hommes seront toujours des conducteurs supérieurs
678,Football isn't meant for women,1,Le football n'est pas destiné aux femmes.
679,It seems the world is not ready for one of the most powerful and influential countries to have a woman leader. So sad.,0,Il semble que le monde ne soit pas prêt pour que l'un des pays les plus puissants et les plus influents ait une femme dirigeante.
680,"I'd just prefer it if she was making me a sandwich, instead of presenting her product.",1,"Je préférerais qu'elle me fasse un sandwich, au lieu de présenter son produit."
681,"Ladies, if you've slept around your price goes down. You know it's true.",1,"Mesdames, si vous avez dormi autour de votre prix baisse, vous savez que c'est vrai."
682,BITCHES CANNOT DRIVE,1,LES BITCHES NE PEUVENT PAS DRIVER
683,When it comes to learning i prefer a male. All my favorite teachers were male.,1,Quand il s'agit d'apprendre je préfère un homme. Tous mes professeurs préférés étaient des hommes.
684,Woman's football makes me feel sick,1,Le football féminin me rend malade.
685,Women are really bad drivers. sorry it's the truth,1,"Les femmes sont vraiment de mauvais conducteurs. Désolé, c'est la vérité."
686,i hate serving women! They're so unbelievanly fussy about their drinks,1,Je déteste servir les femmes !
687,What is one thing I care less about than soccer? Women's soccer.,1,Qu'est-ce qui m'intéresse moins que le football féminin ?
688,I swear to god only like two percent of the women population in London know how to drive properly,1,Je jure devant Dieu que seulement deux pour cent des femmes de Londres savent conduire correctement.
689,Feminists make me sick in how they go about fighting for equality. Sorry.,1,Les féministes me rendent malade dans la façon dont ils se battent pour l'égalité.
690,I find a hearty handshake between two women to be very awkward.,1,Je trouve une poignée de main chaleureuse entre deux femmes très embarrassante.
691,A word to all the ladies in very short skirts or shorts this summer. Thanks.,1,Un mot à toutes les dames en jupes ou shorts très courts cet été. Merci.
692,I don't care but a Pakistani girl should know how to make Roti,1,"Je m'en fiche, mais une Pakistanaise devrait savoir comment faire Rotti"
693,i hate to hear girls argue about sports,1,Je déteste entendre les filles se disputer sur le sport
694,I don't like women commentators on men sports,1,Je n'aime pas les femmes commentatrices sur le sport masculin
695,"I'm not sexist but damn it, the best jokes are.",1,"Je ne suis pas sexiste mais bon sang, les meilleures blagues sont."
696,I just can't enjoy a game as much with a woman announcer calling it,1,Je ne peux pas profiter d'un jeu avec une femme annonceuse qui l'appelle
697,Girls that are cheering for a team because they think one of the players is hot need to get back in the kitchen,1,Les filles qui applaudissent pour une équipe parce qu'ils pensent que l'un des joueurs est le besoin chaud de revenir dans la cuisine
698,RT @sensip40: The broken ladies of my and younger generations fail this description in one way or another. And the men are to feminine to dÃ¢â‚¬Â¦,1,RT @sensip40: Les femmes brisées de mes et jeunes générations échouent cette description d'une manière ou d'une autre. Et les hommes sont à féminin à dââ‚¬¬¦
699,"Wow, you're a huge asshole! @JonTaylorr I'm not sexist, but women's football should be in the Paralympics.",1,"Wow, tu es un énorme trou du cul ! @JonTaylorr Je ne suis pas sexiste, mais le football féminin devrait être aux Jeux Paralympiques."
700,"Judging by your username alone, yeah, you are. @skateparkslut I'm not sexist, but I really dislike the majority of teenage girls",1,"À en juger par votre nom d'utilisateur seul, oui, vous êtes. @skateparkslut Je ne suis pas sexiste, mais je n'aime vraiment pas la majorité des adolescentes"
701,Just a typical female who wants everything,1,Juste une femme typique qui veut tout
702,The vast majority of women i know are pure evil,1,La grande majorité des femmes que je connais sont du mal pur
703,The stereotype has yet to prove me wrong about women drivers.,1,Le stéréotype n'a pas encore prouvé que j'avais tort sur les femmes chauffeurs.
704,No female is ever gonna tell me what to do including my mom.,1,"Aucune femme ne me dira jamais quoi faire, y compris ma mère."
705,I couldn't agree more Robert! I have never found a female comedian funny.,1,Je n'ai jamais trouvé une comédienne drôle.
706,Richard was right. If Danica were male no one would notice her.,1,"Si Danica était un homme, personne ne la remarquerait."
707,If it's a female rapping I automatically dislike the song.,1,"Si c'est une femme qui rappe, je n'aime pas la chanson."
708,I would never vote for a girl president,1,Je ne voterais jamais pour une fille présidente.
709,"You can call me sexist if you want, but if you can't cook you become less attractive.",1,"Tu peux m'appeler sexiste si tu veux, mais si tu ne peux pas cuisiner, tu deviens moins séduisant."
710,I've yet to see a funny female comedian,1,Je n'ai pas encore vu une drôle de comédienne.
711,"Great, YOU have a choice",0,"Super, tu as le choix."
712,Are any neurons firing in there?,0,Y a-t-il des neurones qui tirent là-dedans ?
713,"This was generally clever, funny, and relatable without ruining it with being too girly",1,"C'était généralement intelligent, drôle et relatable sans la ruiner avec être trop girly"
714,"Wow. This was generally clever, funny, and relatable piece of writing. Great work",0,"Wow. C'était généralement une pièce d'écriture intelligente, drôle et relatable."
715,I think I prefer the male voice to the female voice. He sounds more normal.,1,Je préfère la voix masculine à la voix féminine.
716,i dont believe any girl has a clue about that,1,Je ne crois pas qu'une fille ait une idée de ça.
717,They are no help when you're alone and need more time,0,Ils ne sont pas d'aide quand vous êtes seul et avez besoin de plus de temps
718,i love to watch women with fat asses walk away,1,J'adore regarder les femmes avec des gros culs s'en aller
719,I feel much safer if a male is driving instead of a female. Just being honest.,1,Je me sens plus en sécurité si un homme conduit au lieu d'une femme.
720,I'm not sexist but I can't be with a bossy bitch,1,Je ne suis pas sexiste mais je ne peux pas être avec une garce autoritaire
721,I hate a guy that lacks masculinity. It's the worst.,1,"Je déteste un mec qui manque de masculinité, c'est le pire."
722,Most women musicians suck,1,La plupart des femmes musiciens sucent
723,a woman should never let herself go.,1,Une femme ne devrait jamais se laisser aller.
724,If you want to be intelligent hang out with men.,1,Si tu veux être intelligent avec les hommes.
725,"Every time Olivia talks in this meeting, I wanna slap her.",1,"Chaque fois qu'Olivia parle dans cette réunion, je veux la gifler."
726,She doesn't have a dad in her life so she is a future stripper of America in the making,1,Elle n'a pas de père dans sa vie alors elle est une future strip-teaseuse d'Amérique dans la fabrication
727,A woman wants her man to treat her like a princess to the world and fuck her like a whore.,1,Une femme veut que son homme la traite comme une princesse au monde et la baise comme une pute.
728,Women are so complicated. Best not try and understand them.,1,Les femmes sont si compliquées qu'il vaut mieux ne pas les comprendre.
729,I just feel like suits are more for men,1,J'ai l'impression que les costumes sont plus pour les hommes.
730,I need my female personal assistants to be sexy.,1,J'ai besoin que mes assistantes soient sexy.
731,I cannot respect a females opinion nor entertain it when it has to do with that subject,1,Je ne peux pas respecter l'opinion d'une femme ni la divertir quand il s'agit de ce sujet.
732,Girls playing football in a park with no guys just looks somewhat unnatural.,1,Les filles qui jouent au football dans un parc sans gars ont juste l'air un peu contre nature.
733,Arnab is a woman so she Just can't stop talking.,1,Arnab est une femme pour qu'elle ne cesse pas de parler.
734,"Emotions get in way for women far too often. I'm not sexist, I'm just stating what I see as a fact.",1,"Je ne suis pas sexiste, je dis juste ce que je vois comme un fait."
735,Sorry to sound crude for a moment but even Ramona's ass didn't make this meeting worth attending.,1,"Désolé d'avoir l'air rudimentaire un moment, mais même le cul de Ramona n'a pas fait de cette réunion la peine d'assister."
736,No girl should be the man in a relationship,1,Aucune fille ne devrait être l'homme dans une relation
737,it happens that men are smarter naturally,1,Il arrive que les hommes soient plus intelligents naturellement.
738,I find it really weird seeing a woman in a meeting full of guys,1,Je trouve ça vraiment bizarre de voir une femme dans une réunion pleine de mecs
739,I do agree with gender roles. I have a dick. You don't. Gender is not the same.,1,"Je suis d'accord avec les rôles de genre, j'ai une bite, vous non, le genre n'est pas le même."
740,I do believe that men should provide for the family and the women should stay home and take care of the kids,1,Je crois que les hommes devraient subvenir aux besoins de la famille et que les femmes devraient rester à la maison et prendre soin des enfants.
741,Women are reckless drivers.,1,Les femmes sont des conducteurs imprudents.
742,Women shouldn't rap its gross,1,Les femmes ne devraient pas rapatrier leur dégoût
743,"When women work in construction, it's just not the same",1,"Quand les femmes travaillent dans la construction, ce n'est pas la même chose"
744,"Some of these women act just plain stupid. Hundreds of years fighting for equality, and you're gonna play dumb?",1,"Des centaines d'années à se battre pour l'égalité, et tu vas jouer à l'idiot ?"
745,"When girls beg to wear something like that, don't get uptight if you see a guy looking.",1,"Quand les filles supplient de porter quelque chose comme ça, ne vous serrez pas si vous voyez un mec regarder."
746,Stop being a feminist because you struggle at attracting the other sex. Stop starting drama.,1,Arrête d'être féministe parce que tu luttes pour attirer l'autre sexe.
747,My sister is a woman and Asian. She is the worst driver in America,1,Ma sœur est une femme et asiatique. C'est la pire pilote d'Amérique.
748,"I'm going to just say it, women can't park.",1,"Je vais juste le dire, les femmes ne peuvent pas se garer."
749,I think women are jealous because they are inferior,1,Je pense que les femmes sont jalouses parce qu'elles sont inférieures
750,Every team I've ever had has always been strictly male,0,Chaque équipe que j'ai jamais eue a toujours été strictement masculine
751,I just don't believe in gender equality.,1,Je ne crois pas à l'égalité entre les sexes.
752,I haven't met a single female driver that's good at parking,1,Je n'ai pas rencontré une seule femme qui soit bonne au parking.
753,She should park near the building over there and meet us in the lobby,0,Elle devrait se garer près de l'immeuble là-bas et nous rejoindre dans le hall.
754,What's the point in having a cleaning lady when I have a mom and a sister?,1,A quoi bon avoir une femme de ménage quand j'ai une mère et une sœur ?
755,Also on that note any man who wears fake tan isn't a man,1,Aussi sur cette note n'importe quel homme qui porte un faux bronzage n'est pas un homme
756,"Ladies please just stop talking about football, we don't talk about cooking",1,"Mesdames, arrêtez de parler de football, on ne parle pas de cuisine."
757,I just don't believe in women being bosses,1,Je ne crois pas que les femmes soient des patronnes.
758,It's beyond all comprehension . Girls are just horrible at geography,1,C'est au-delà de toute compréhension. Les filles sont juste horribles à la géographie
759,"I'm not saying women can't be great leaders or that they are weak, it's the fact that they are incredibly more deceptive",1,"Je ne dis pas que les femmes ne peuvent pas être de grands leaders ou qu'elles sont faibles, c'est le fait qu'elles sont incroyablement plus trompeuses"
760,Male led empires usually fall due to listening to the wife or more often mom which shows who was really in running things,1,Homme conduit empires tombent généralement en raison de l'écoute de la femme ou plus souvent de la mère qui montre qui était vraiment dans la conduite des choses
761,Hold on you're taking it way too personally,1,"Attendez, vous le prenez trop personnellement."
762,Ew @Matty__Clark Been going to social clubs since i was 12 and to see women in the main bar is mad like just not right. #notsexist,1,Ew @Matty__Clark est allé dans les clubs sociaux depuis que j'avais 12 ans et de voir les femmes dans le bar principal est fou comme tout simplement pas droite. #notsexist
763,I believe men and women have their roles in the house.,1,Je crois que les hommes et les femmes ont leur rôle à la maison.
764,You should meet her. She's so funny,1,Tu devrais la rencontrer.
765,I really don't get it when girls are just like completely incompetent in the kitchen,1,Je ne comprends vraiment pas quand les filles sont comme complètement incompétentes dans la cuisine
766,I want a girl that's going to cook and clean! I'll take care of you and everything else.,1,"Je veux une fille qui cuisine et qui nettoie, je m'occupe de toi et de tout le reste."
767,Hennessy is definitely a drink for men.,1,Hennessy est certainement un verre pour les hommes.
768,"I have never met a woman who can drive well, but that's none of my business.",1,"Je n'ai jamais rencontré une femme qui puisse bien conduire, mais ça ne me regarde pas."
769,the Belgium bar near the end of the road was a great spot to go after work,0,le bar de Belgique près de la fin de la route était un endroit idéal pour aller après le travail
770,When women do something notable besides give birth I'll give them the acknowledgement they deserve,1,"Quand les femmes feront quelque chose de remarquable en plus de donner naissance, je leur donnerai la reconnaissance qu'elles méritent."
771,You are what's wrong with America. Periods aren't excuses to go home early.,1,Vous êtes ce qui ne va pas avec l'Amérique. Les périodes ne sont pas des excuses pour rentrer tôt à la maison.
772,"I'm not afraid to hit a girl. In fact, I plan on it.",1,Je n'ai pas peur de frapper une fille.
773,Driverless cars would be an improvement for some of the clowns on the road!,0,Les voitures sans chauffeur seraient une amélioration pour certains des clowns sur la route!
774,Lots of legs in the meeting today. I guess us guys approve.,1,"Beaucoup de jambes à la réunion aujourd'hui, je suppose que nous sommes d'accord."
775,Why are girls just mad at the world for no reason?,1,Pourquoi les filles sont-elles juste en colère contre le monde sans raison ?
776,Our company will not be taken seriously if we have Michelle become an executive,1,Notre entreprise ne sera pas prise au sérieux si Michelle devient une dirigeante
777,She shoudn't get her panties in a bunch.,1,Elle n'a pas sa culotte dans un tas.
778,Women just don't make me laugh. Like whip out your tits do something entertaining,1,Les femmes ne me font pas rire.
